"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Master\Desktop\DiscordBot\src\commands\misc\bookClub.js", "JavaScript", 0, 9, 3, 5, 17
"c:\Users\Master\Desktop\DiscordBot\src\commands\misc\registerRoles.js", "JavaScript", 0, 9, 0, 5, 14
"c:\Users\Master\Desktop\DiscordBot\src\commands\misc\startSession.js", "JavaScript", 0, 26, 1, 9, 36
"c:\Users\Master\Desktop\DiscordBot\src\commands\moderation\ban.js", "JavaScript", 0, 23, 2, 2, 27
"c:\Users\Master\Desktop\DiscordBot\src\commands\register.js", "JavaScript", 0, 6, 0, 1, 7
"c:\Users\Master\Desktop\DiscordBot\src\events\interactionCreate\handleButton.js", "JavaScript", 0, 42, 1, 12, 55
"c:\Users\Master\Desktop\DiscordBot\src\events\interactionCreate\handleCommands.js", "JavaScript", 0, 56, 0, 10, 66
"c:\Users\Master\Desktop\DiscordBot\src\events\interactionCreate\handleMenu.js", "JavaScript", 0, 17, 1, 1, 19
"c:\Users\Master\Desktop\DiscordBot\src\events\ready\01registerCommands.js", "JavaScript", 0, 45, 0, 8, 53
"c:\Users\Master\Desktop\DiscordBot\src\events\ready\consoleLog.js", "JavaScript", 0, 3, 0, 0, 3
"c:\Users\Master\Desktop\DiscordBot\src\handlers\bookVoteHandler.js", "JavaScript", 0, 36, 4, 11, 51
"c:\Users\Master\Desktop\DiscordBot\src\handlers\eventHandler.js", "JavaScript", 0, 16, 0, 6, 22
"c:\Users\Master\Desktop\DiscordBot\src\handlers\monthlyClubHandler.js", "JavaScript", 0, 31, 2, 7, 40
"c:\Users\Master\Desktop\DiscordBot\src\handlers\roleHandler.js", "JavaScript", 0, 29, 0, 8, 37
"c:\Users\Master\Desktop\DiscordBot\src\index.js", "JavaScript", 0, 50, 9, 24, 83
"c:\Users\Master\Desktop\DiscordBot\src\models\schema.js", "JavaScript", 0, 20, 0, 10, 30
"c:\Users\Master\Desktop\DiscordBot\src\send-message.js", "JavaScript", 0, 0, 32, 7, 39
"c:\Users\Master\Desktop\DiscordBot\src\utils\apiUtils.js", "JavaScript", 0, 16, 0, 4, 20
"c:\Users\Master\Desktop\DiscordBot\src\utils\areCommandsDifferent.js", "JavaScript", 0, 48, 0, 7, 55
"c:\Users\Master\Desktop\DiscordBot\src\utils\embedUtils.js", "JavaScript", 0, 130, 11, 41, 182
"c:\Users\Master\Desktop\DiscordBot\src\utils\getAllFiles.js", "JavaScript", 0, 20, 0, 8, 28
"c:\Users\Master\Desktop\DiscordBot\src\utils\getApplicationCommands.js", "JavaScript", 0, 12, 0, 2, 14
"c:\Users\Master\Desktop\DiscordBot\src\utils\getLocalCommands.js", "JavaScript", 0, 20, 0, 6, 26
"c:\Users\Master\Desktop\DiscordBot\src\utils\readWrite.js", "JavaScript", 0, 221, 12, 53, 286
"c:\Users\Master\Desktop\DiscordBot\src\utils\searchUtils.js", "JavaScript", 0, 118, 9, 45, 172
"c:\Users\Master\Desktop\DiscordBot\src\utils\sharedData.js", "JavaScript", 0, 2, 0, 1, 3
"c:\Users\Master\Desktop\DiscordBot\src\utils\userSubmissions.json", "JSON", 6, 0, 0, 0, 6
"Total", "-", 6, 1005, 87, 293, 1391
